algorithm,seed,total_rewards,final_regret,avg_regret,theoretical_bound,regret_ratio,efficiency,regret_compliance,learning_trend,total_purchases,stability,timestamp,cost_coeff,confidence_multiplier,softmax_temperature,performance_score
CombinatorialUCBSeller,42,2383.1,2426.2000000000007,2.4261999999999997,83.1129068134555,29.191615273973465,49.55190984134906,False,0.14168689320388356,1000,2.5394354647043738,2025-07-11T18:12:49.388210,0.01,0.5,0.1,30.029448298571666
CombinatorialUCBSeller,123,2373.825,2425.8750000000023,2.425875,83.1129068134555,29.187704930653048,49.45777861116319,False,0.11672783684588915,999,2.4140326207473657,2025-07-11T18:12:49.651564,0.01,0.5,0.1,28.99985444561059
CombinatorialUCBSeller,789,2398.575,2414.1249999999986,2.414125,83.1129068134555,29.046330979837247,49.8384482722796,False,0.10782848603287722,1000,2.4583714172837725,2025-07-11T18:12:49.913320,0.01,0.5,0.1,29.203915216313025
CombinatorialUCBSeller,456,2373.9,2423.0000000000014,2.423,83.1129068134555,29.15311343204918,49.488211136358906,False,0.10739920586438587,1000,2.5835737671670405,2025-07-11T18:12:50.176968,0.01,0.5,0.1,29.717164219993236
CombinatorialUCBSeller,999,2375.075,2433.2750000000015,2.4332749999999996,83.1129068134555,29.276740440102962,49.39480279097819,False,0.10439878175719958,1000,2.363839034091403,2025-07-11T18:12:50.438866,0.01,0.5,0.1,28.544023097337558
CombinatorialUCBSeller,42,2070.05,2739.2499999999964,2.73925,83.1129068134555,32.958178278473206,43.04264653899737,False,0.05904150197628473,1000,2.402118548453809,2025-07-11T18:12:50.701841,0.01,0.5,0.3,26.11150624103268
CombinatorialUCBSeller,123,2082.25,2717.449999999998,2.71745,83.1129068134555,32.695884480363986,43.3829197658187,False,0.051897479467573025,999,2.254688496493049,2025-07-11T18:12:50.965578,0.01,0.5,0.3,25.371696911817473
CombinatorialUCBSeller,789,2089.175,2723.5250000000024,2.723525,83.1129068134555,32.76897782089219,43.40962453508427,False,0.02538216446497005,1000,2.3877207199893067,2025-07-11T18:12:51.229632,0.01,0.5,0.3,25.646461668577302
CombinatorialUCBSeller,456,2074.3500000000004,2722.5499999999997,2.72255,83.1129068134555,32.75724679093085,43.24355312806188,False,0.039481125406475304,1000,2.5046571124726102,2025-07-11T18:12:51.505225,0.01,0.5,0.3,26.392915245255022
CombinatorialUCBSeller,999,2067.525,2740.824999999999,2.7408249999999996,83.1129068134555,32.97712840379535,42.99863778635083,False,0.013443677496295726,1000,2.2279656980897244,2025-07-11T18:12:51.769956,0.01,0.5,0.3,24.543398693502144
CombinatorialUCBSeller,42,1963.2250000000004,2846.0749999999994,2.846075,83.1129068134555,34.243478048336485,40.8214293140374,False,0.04318345262148545,1000,2.381257298823373,2025-07-11T18:12:52.032931,0.01,0.5,0.5,25.091643177692582
CombinatorialUCBSeller,123,1970.8000000000002,2828.8999999999965,2.8288999999999995,83.1129068134555,34.036831443633424,41.06089963956081,False,0.03466721530706724,999,2.325550081546576,2025-07-11T18:12:52.303362,0.01,0.5,0.5,24.758967257762293
CombinatorialUCBSeller,789,1968.15,2844.5500000000006,2.8445500000000004,83.1129068134555,34.22512951429446,40.89492384732064,False,0.012124791550861566,1000,2.3349617103347025,2025-07-11T18:12:52.566510,0.01,0.5,0.5,24.416489327665015
CombinatorialUCBSeller,456,1963.1,2833.799999999998,2.8337999999999997,83.1129068134555,34.09578738908001,40.924346974087435,False,0.03185344680269287,1000,2.4566112703281817,2025-07-11T18:12:52.828350,0.01,0.5,0.5,25.330595827466603
CombinatorialUCBSeller,999,1949.3500000000001,2859.0000000000014,2.859,83.1129068134555,34.398989394233844,40.540934000228766,False,-0.010532990453376717,1000,2.166489285356428,2025-07-11T18:12:53.089550,0.01,0.5,0.5,23.12659533346428
CombinatorialUCBSeller,42,1911.6750000000002,2897.6249999999995,2.897625,83.1129068134555,34.86371865808562,39.749547751232,False,0.03875446518838033,1000,2.355700203727579,2025-07-11T18:12:53.351274,0.01,0.5,0.7,24.570693089102868
CombinatorialUCBSeller,123,1915.325,2884.3749999999973,2.884375,83.1129068134555,34.70429696886782,39.905098235306376,False,0.024474342505577725,999,2.299914698320009,2025-07-11T18:12:53.613341,0.01,0.5,0.7,24.125538944352513
CombinatorialUCBSeller,789,1900.525,2912.174999999999,2.9121750000000004,83.1129068134555,35.03878172058512,39.48978743740521,False,0.0040179787523837085,1000,2.3513317901376243,2025-07-11T18:12:53.875139,0.01,0.5,0.7,23.94845071137645
CombinatorialUCBSeller,456,1895.8000000000002,2901.099999999998,2.9011,83.1129068134555,34.90552925205026,39.52135754341346,False,0.028942349516512207,1000,2.4157810996968943,2025-07-11T18:12:54.136867,0.01,0.5,0.7,24.65511716034856
CombinatorialUCBSeller,999,1889.1250000000002,2919.225000000001,2.919225,83.1129068134555,35.1236060910746,39.288425343413024,False,-0.011555094274346957,1000,2.155099147969564,2025-07-11T18:12:54.399279,0.01,0.5,0.7,22.67259744632829
CombinatorialUCBSeller,42,1854.9750000000001,2954.324999999997,2.954325,83.1129068134555,35.54592316968162,38.57058199738008,False,0.03410636674297461,1000,2.3468577381233593,2025-07-11T18:12:54.663503,0.01,0.5,1.0,24.097595781205655
CombinatorialUCBSeller,123,1856.75,2942.949999999996,2.9429499999999997,83.1129068134555,35.409061153466354,38.684709461007984,False,0.011678345011678245,999,2.3134556729949836,2025-07-11T18:12:54.926287,0.01,0.5,1.0,23.629484637994214
CombinatorialUCBSeller,789,1847.725,2964.9749999999995,2.964975,83.1129068134555,35.67406211233593,38.39269017391486,False,-0.001173827011436374,1000,2.315632928062306,2025-07-11T18:12:55.188638,0.01,0.5,1.0,23.357896423435818
CombinatorialUCBSeller,456,1840.1,2956.7999999999984,2.9568,83.1129068134555,35.57570193804496,38.360190956659515,False,0.027442731784270664,1000,2.3505159417749937,2025-07-11T18:12:55.451122,0.01,0.5,1.0,23.952580796597182
CombinatorialUCBSeller,999,1840.475,2967.8750000000014,2.967875,83.1129068134555,35.70895440657984,38.276643755134295,False,-0.013998429444501324,1000,2.1312095829838897,2025-07-11T18:12:55.739106,0.01,0.5,1.0,22.208324359417105
CombinatorialUCBSeller,42,1802.9750000000001,3006.3249999999966,3.006325,83.1129068134555,36.17157810095134,37.489343563512364,False,0.033528125102020974,1000,2.3122369950546062,2025-07-11T18:12:56.001122,0.01,0.5,1.5,23.586607878419528
CombinatorialUCBSeller,123,1806.625,2993.0749999999966,2.9930749999999997,83.1129068134555,36.01215641173358,37.64037335666813,False,0.006383048728325628,999,2.355969737456814,2025-07-11T18:12:56.263845,0.01,0.5,1.5,23.444621486331325
CombinatorialUCBSeller,789,1794.6,3018.099999999996,3.0181,83.1129068134555,36.31325284740713,37.28883994431401,False,-0.0052917052520174675,1000,2.293974481460832,2025-07-11T18:12:56.528196,0.01,0.5,1.5,22.851774098438494
CombinatorialUCBSeller,456,1793.275,3003.624999999999,3.003625,83.1129068134555,36.139092171827755,37.384039692301286,False,0.02272948663830902,1000,2.315821369552876,2025-07-11T18:12:56.790907,0.01,0.5,1.5,23.411206157422832
CombinatorialUCBSeller,999,1794.025,3014.3250000000007,3.014325,83.1129068134555,36.267832705762125,37.31061590774382,False,-0.016503873358032987,1000,2.1173536063800817,2025-07-11T18:12:57.053922,0.01,0.5,1.5,21.807362972677492
CombinatorialUCBSeller,42,1780.4750000000001,3028.824999999996,3.028825,83.1129068134555,36.44229417698151,37.02150001039653,False,0.028197872963215923,1000,2.326023640736077,2025-07-11T18:12:57.316120,0.01,0.5,2.0,23.433191807154465
